reward,training_time,waiting_time,avg_queue_length
-1541,1922.640856,15797,4.388055555555556
-1462,1928.428384,17611,4.891944444444444
-1440,1934.188368,16516,4.587777777777778
-1346,1939.967456,16266,4.5183333333333335
-1541,1945.720203,15081,4.189166666666667
-1479,1951.457072,17300,4.805555555555555
-1502,1957.240743,16768,4.657777777777778
-1455,1963.143936,17130,4.758333333333334
-1425,1969.001291,16574,4.603888888888889
-1420,1974.667906,16061,4.461388888888889
-1476,1980.489166,15978,4.4383333333333335
-1449,1986.339601,16485,4.579166666666667
-1373,1992.095239,16349,4.541388888888889
-1447,1997.899533,15247,4.235277777777778
-1451,2003.719876,16205,4.501388888888889
-1501,2009.477013,16417,4.560277777777777
-1475,2015.222975,17093,4.748055555555555
-1459,2021.080233,16662,4.628333333333333
-1359,2026.773891,16597,4.610277777777778
-1355,2032.471423,15362,4.267222222222222
-1563,2038.247234,15240,4.233333333333333
-1416,2044.044872,17803,4.945277777777778
-1600,2049.944847,15876,4.41
-1427,2055.729006,18241,5.066944444444444
-1489,2061.423315,15996,4.443333333333333
-1525,2067.269077,16914,4.698333333333333
-1470,2073.172014,17301,4.805833333333333
-1454,2078.893942,16373,4.548055555555556
-1510,2084.77139,16197,4.4991666666666665
-1598,2090.543308,17135,4.759722222222222
-1394,2096.312012,18206,5.057222222222222
-1587,2102.237433,15663,4.350833333333333
-1413,2107.973462,18095,5.026388888888889
-1416,2113.91837,16047,4.4575
-1404,2119.713661,15882,4.411666666666667
-1422,2125.470393,15795,4.3875
-1455,2131.312351,16255,4.5152777777777775
-1432,2137.031919,16292,4.525555555555556
-1450,2142.880168,16360,4.544444444444444
-1408,2149.413333,16421,4.561388888888889
-1425,2155.439035,15902,4.417222222222223
-1497,2161.454048,16104,4.473333333333334
-1420,2167.332557,16873,4.686944444444444
-1403,2173.196293,15980,4.438888888888889
-1397,2179.14161,15964,4.434444444444445
-1490,2185.057459,15771,4.380833333333333
-1410,2190.858455,16963,4.711944444444445
-1560,2196.888666,15818,4.393888888888889
-1450,2202.773655,17735,4.926388888888889
-1288,2208.828555,16258,4.516111111111111
-1366,2214.493883,14451,4.014166666666667
-1446,2220.570771,15399,4.2775
-1365,2226.357527,16354,4.542777777777777
-1507,2232.530891,15443,4.289722222222222
-1472,2238.277403,16978,4.716111111111111
-1503,2244.438206,16541,4.594722222222222
-1441,2250.104307,17049,4.735833333333333
-1537,2256.200922,16504,4.584444444444444
-1497,2261.916563,17366,4.823888888888889
-1379,2267.999043,17378,4.827222222222222
-1395,2273.793168,15607,4.335277777777778
-1461,2279.878944,15588,4.33
-1406,2285.665731,16471,4.575277777777778
-1437,2291.778381,15835,4.398611111111111
-1386,2297.528684,16235,4.509722222222222
-1491,2303.503673,15639,4.344166666666666
-1371,2309.337902,16761,4.655833333333334
-1449,2315.349488,15532,4.314444444444445
-1438,2321.297515,16511,4.586388888888889
-1421,2327.221684,16164,4.49
-1452,2333.089918,16044,4.456666666666667
-1402,2339.089178,16621,4.616944444444444
-1441,2344.992234,15930,4.425
-1388,2350.880371,16389,4.5525
-1406,2356.857259,15578,4.327222222222222
-1370,2362.656484,16130,4.480555555555555
-1265,2368.400276,15519,4.310833333333333
-1443,2374.342684,14162,3.9338888888888888
-1428,2380.17947,16183,4.495277777777778
-1370,2386.105959,16034,4.453888888888889
-1442,2391.962863,15334,4.259444444444444
-1457,2397.765543,16158,4.488333333333333
-1356,2403.963139,16251,4.514166666666667
-1377,2409.668753,15108,4.196666666666666
-1390,2415.729948,15734,4.370555555555556
-1295,2421.455289,15851,4.4030555555555555
-1453,2427.522498,14315,3.9763888888888888
-1413,2433.258889,16178,4.493888888888889
-1384,2439.325628,16155,4.4875
-1336,2445.01351,15333,4.259166666666666
-1392,2451.156226,15057,4.1825
-1319,2456.825791,15510,4.308333333333334
-1312,2462.895716,14924,4.145555555555555
-1429,2468.716492,14699,4.083055555555555
-1308,2474.757037,16098,4.471666666666667
-1411,2480.491741,14829,4.119166666666667
-1452,2486.665676,15946,4.429444444444444
-1424,2492.336316,16364,4.545555555555556
-1455,2498.49172,16505,4.584722222222222
-1587,2504.295917,16458,4.571666666666666
-1463,2510.242992,18040,5.011111111111111
-1342,2516.069275,16571,4.603055555555556
-1372,2521.967784,15070,4.186111111111111
-1429,2527.839081,15576,4.326666666666667
-1399,2533.819423,16317,4.5325
